scenario_id,replica,domain,endpoint,role,purpose,field_family,same_jurisdiction,object_relation,consent_active,consent_scope_valid,emergency,group_size,returned_fields,aggregate_returned,audit_marker,violation_family,expected_violation,expected_behavior,risk
benefits_005_1_jurisdiction_violation,5,benefits,GET /benefits/{case_id}/r005,case_worker,appeal_review,household_income,False,True,True,True,False,27,"['id', 'precise_address', 'household_income']",False,standard,jurisdiction_conditioned_field,True,coarsen cross-jurisdiction response,67.5
benefits_006_1_jurisdiction_violation,6,benefits,GET /benefits/{case_id}/r006,case_worker,appeal_review,household_income,False,True,True,True,False,28,"['id', 'status', 'precise_address', 'household_income', 'case_stage']",False,standard,jurisdiction_conditioned_field,True,coarsen cross-jurisdiction response,68.85
benefits_007_1_jurisdiction_violation,7,benefits,GET /benefits/{case_id}/r007,case_worker,appeal_review,household_income,False,True,True,True,False,29,"['id', 'precise_address', 'household_income']",False,standard,jurisdiction_conditioned_field,True,coarsen cross-jurisdiction response,70.2
benefits_000_1_consent_violation,0,benefits,GET /benefits/{case_id}/r000,case_worker,appeal_review,household_income,True,True,False,False,False,25,"['id', 'status', 'household_income']",False,standard,consent_gated_field,True,suppress consent-gated field,73.8
benefits_001_1_consent_violation,1,benefits,GET /benefits/{case_id}/r001,case_worker,appeal_review,household_income,True,True,False,False,False,26,"['id', 'household_income']",False,standard,consent_gated_field,True,suppress consent-gated field,76.05
benefits_002_1_consent_violation,2,benefits,GET /benefits/{case_id}/r002,case_worker,appeal_review,household_income,True,True,False,False,False,27,"['id', 'status', 'household_income']",False,standard,consent_gated_field,True,suppress consent-gated field,78.3
benefits_003_1_consent_violation,3,benefits,GET /benefits/{case_id}/r003,case_worker,appeal_review,household_income,True,True,False,False,False,28,"['id', 'household_income', 'last_update']",False,standard,consent_gated_field,True,suppress consent-gated field,80.55
benefits_004_1_consent_violation,4,benefits,GET /benefits/{case_id}/r004,case_worker,appeal_review,household_income,True,True,False,False,False,29,"['id', 'status', 'household_income']",False,standard,consent_gated_field,True,suppress consent-gated field,73.8
benefits_005_1_consent_violation,5,benefits,GET /benefits/{case_id}/r005,case_worker,appeal_review,household_income,True,True,False,False,False,30,"['id', 'household_income']",False,standard,consent_gated_field,True,suppress consent-gated field,76.05
benefits_006_1_consent_violation,6,benefits,GET /benefits/{case_id}/r006,case_worker,appeal_review,household_income,True,True,False,False,False,31,"['id', 'status', 'household_income', 'case_stage']",False,standard,consent_gated_field,True,suppress consent-gated field,78.3
benefits_007_1_consent_violation,7,benefits,GET /benefits/{case_id}/r007,case_worker,appeal_review,household_income,True,True,False,False,False,32,"['id', 'household_income']",False,standard,consent_gated_field,True,suppress consent-gated field,80.55
benefits_008_1_consent_violation,8,benefits,GET /benefits/{case_id}/r008,case_worker,appeal_review,household_income,True,True,False,False,False,33,"['id', 'status', 'household_income']",False,standard,consent_gated_field,True,suppress consent-gated field,73.8
benefits_009_1_consent_violation,9,benefits,GET /benefits/{case_id}/r009,case_worker,appeal_review,household_income,True,True,False,False,False,34,"['id', 'household_income', 'review_flag']",False,standard,consent_gated_field,True,suppress consent-gated field,76.05
benefits_010_1_consent_violation,10,benefits,GET /benefits/{case_id}/r010,case_worker,appeal_review,household_income,True,True,False,False,False,25,"['id', 'status', 'household_income']",False,standard,consent_gated_field,True,suppress consent-gated field,78.3
benefits_011_1_consent_violation,11,benefits,GET /benefits/{case_id}/r011,case_worker,appeal_review,household_income,True,True,False,False,False,26,"['id', 'household_income']",False,standard,consent_gated_field,True,suppress consent-gated field,80.55
benefits_012_1_consent_violation,12,benefits,GET /benefits/{case_id}/r012,case_worker,appeal_review,household_income,True,True,False,False,False,27,"['id', 'status', 'household_income', 'source_agency']",False,standard,consent_gated_field,True,suppress consent-gated field,73.8
benefits_013_1_consent_violation,13,benefits,GET /benefits/{case_id}/r013,case_worker,appeal_review,household_income,True,True,False,False,False,28,"['id', 'household_income']",False,standard,consent_gated_field,True,suppress consent-gated field,76.05
